City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,havelock,34.88,-76.9,73.99,96,81,3.18,US,1597893151
323,gandorhun,7.5,-11.83,73.54,95,100,4.56,SL,1597893443
324,yumen,40.28,97.2,80.33,27,95,22.46,CN,1597893443
325,muskegon,43.3,-86.13,64.4,82,1,5.26,US,1597893443
326,talcahuano,-36.72,-73.12,44.6,70,0,4.7,CL,1597893346
327,petropavlovka,50.61,105.32,72.14,60,53,2.01,RU,1597893444
328,mahajanga,-15.72,46.32,64.4,82,25,2.24,MG,1597893444
329,port macquarie,-31.43,152.92,66.99,34,0,17.22,AU,1597893199
330,tonaya,19.78,-103.97,72.82,75,98,2.21,MX,1597893444
331,ketchikan,55.34,-131.65,57.2,93,90,16.11,US,1597893279
332,loiza,18.43,-65.88,82.4,78,40,10.29,PR,1597893444
333,rosa zarate,0.33,-79.47,70.77,88,100,2.98,EC,1597893445
334,guerrero negro,27.98,-114.06,78.08,66,0,14.56,MX,1597893445
335,calama,-22.47,-68.93,42.8,14,0,9.17,CL,1597893445
336,yar-sale,66.83,70.83,55.96,80,100,9.51,RU,1597893446
337,derzhavinsk,51.1,66.32,55.6,51,0,15.64,KZ,1597893446
338,narasannapeta,18.42,84.05,80.13,86,100,5.57,IN,1597893446
339,sechelt,49.47,-123.77,68.0,83,100,1.1,CA,1597893446
340,egvekinot,66.32,-179.17,52.32,62,94,7.27,RU,1597893447
341,tadine,-21.55,167.88,74.14,69,0,12.88,NC,1597893447
342,zlitan,32.47,14.57,76.32,81,0,0.49,LY,1597893447
343,guarapari,-20.67,-40.5,75.99,83,40,14.99,BR,1597893447
344,keflavik,64.0,-22.56,48.2,100,90,5.82,IS,1597893447
345,charters towers,-20.1,146.27,79.54,20,4,12.28,AU,1597893447
346,santa isabel do rio negro,-0.41,-65.02,78.03,71,5,3.69,BR,1597893366
347,pueblo nuevo,23.38,-105.38,60.42,97,100,3.29,MX,1597893448
348,lorengau,-2.02,147.27,86.56,65,26,8.88,PG,1597893448
349,kintampo,8.06,-1.73,69.53,94,72,6.96,GH,1597893448
350,novikovo,51.15,37.89,61.36,85,74,10.22,RU,1597893448
351,najran,17.49,44.13,80.6,21,41,4.7,SA,1597893448
352,sur,22.57,59.53,88.16,56,35,3.4,OM,1597893449
353,arcata,40.87,-124.08,62.01,87,20,4.7,US,1597893449
354,pacific grove,36.62,-121.92,68.0,60,90,6.93,US,1597893290
355,anchorage,61.22,-149.9,66.2,55,75,8.05,US,1597893449
356,manzil salim,35.86,8.48,75.2,47,0,4.7,TN,1597893450
357,neftcala,39.37,49.25,74.77,55,0,1.72,AZ,1597893450
358,ribeira grande,38.52,-28.7,69.75,69,58,16.89,PT,1597893450
359,chokurdakh,70.63,147.92,37.58,86,100,10.45,RU,1597893450
360,acajutla,13.59,-89.83,69.01,100,93,3.02,SV,1597893451
361,nouadhibou,20.93,-17.03,69.8,88,3,12.75,MR,1597893451
362,marmora,44.46,7.09,70.0,100,0,1.12,IT,1597893426
363,maldonado,-34.67,-54.92,46.4,61,75,18.34,UY,1597893451
364,pangnirtung,66.15,-65.71,52.72,42,16,2.33,CA,1597893451
365,geraldton,-28.77,114.6,60.8,63,68,16.11,AU,1597893214
366,vestmannaeyjar,63.44,-20.27,48.63,81,100,13.0,IS,1597893451
367,gat,31.61,34.76,72.0,40,0,1.99,IL,1597893452
368,abeche,13.83,20.83,73.15,87,100,6.44,TD,1597893452
369,farmington,36.73,-108.22,82.4,14,1,9.42,US,1597893452
370,asfi,32.3,-9.24,68.81,80,0,11.16,MA,1597893452
371,astara,38.5,48.67,62.6,100,90,4.7,AZ,1597893452
372,amot,59.57,7.99,57.0,91,94,0.69,NO,1597893452
373,takhtamygda,54.1,123.57,70.21,40,1,7.78,RU,1597893453
374,bad doberan,54.11,11.9,66.0,93,75,3.36,DE,1597893453
375,haines junction,60.75,-137.51,59.9,46,14,1.72,CA,1597893453
376,karratha,-20.74,116.85,78.31,22,0,16.13,AU,1597893453
377,biak,-0.91,122.88,82.18,62,50,7.31,ID,1597893454
378,pochinki,54.7,44.87,46.58,78,0,4.43,RU,1597893454
379,nicoya,10.15,-85.45,75.22,93,100,2.3,CR,1597893303
380,neryungri,56.67,124.65,65.97,40,15,5.26,RU,1597893454
381,christchurch,-43.53,172.63,62.01,63,66,3.36,NZ,1597893185
382,boden,65.83,21.69,59.0,93,90,1.12,SE,1597893454
383,alofi,-19.06,-169.92,84.2,74,75,9.17,NU,1597893455
384,pathein,16.78,94.73,77.27,92,100,8.93,MM,1597893455
385,dalvik,65.97,-18.53,35.6,93,0,3.36,IS,1597893455
